underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,ask_iv,vega,theta,rho,gamma,delta
8944.72,BTC-26JUN20,1583060344402,open,1.7,0.0,1.634,1.7655,1.6933608,93.53,None,0.0,BTC-26JUN20-24000-P,8572.0,0.0,0.0,0.0,0.0,0.0,0.0,5.61185,-2.2454,-75.57363,2e-05,-0.94523
8684.65,BTC-27MAR20,1583060344402,open,0.0,2235.3,0.0005,0.0125,0.00295488,91.75,0.0025,0.0,BTC-27MAR20-14000-C,8572.0,89.34,0.0025,175.3,0.0035,49.0,94.36,1.72125,-3.05175,0.18772,4e-05,0.03345
8684.65,BTC-27MAR20,1583060344402,open,0.0,428.4,0.0005,0.0105,7.7e-07,121.62,0.0005,0.0,BTC-27MAR20-36000-C,8572.0,0.0,0.0,0.0,0.0005,111.0,183.28,0.0012,-0.00283,7e-05,0.0,1e-05
8944.72,BTC-26JUN20,1583060344402,open,0.01,506.1,0.0005,0.0205,0.00825633,68.29,0.009,0.0,BTC-26JUN20-5000-P,8572.0,66.84,0.0075,28.1,0.009,24.0,69.65,4.77372,-1.39462,-1.51736,3e-05,-0.04472
8944.72,BTC-26JUN20,1583060344402,open,0.02,642.7,0.009,0.041,0.0206443,64.61,0.0225,0.0,BTC-26JUN20-6000-P,8572.0,63.46,0.0195,58.0,0.022,24.0,65.95,8.95847,-2.47628,-3.4889,5e-05,-0.10117
8684.65,BTC-27MAR20,1583060344402,open,1.54,5.6,1.484,1.5875,1.53351829,121.9,1.545,0.0,BTC-27MAR20-22000-P,8572.0,0.0,0.0005,1.0,0.0,0.0,0.0,0.23993,-0.56514,-15.57699,0.0,-0.99655
8944.72,BTC-26JUN20,1583060344402,open,0.02,542.5,0.01,0.0555,0.02566099,78.17,0.027,0.0,BTC-26JUN20-16000-C,8572.0,77.22,0.0245,24.0,0.027,58.0,79.23,11.10453,-3.71329,3.1909,6e-05,0.13707
8684.65,BTC-27MAR20,1583060344402,open,0.2,583.8,0.1815,0.224,0.20151968,64.16,0.21,0.0,BTC-27MAR20-7000-C,8572.0,37.81,0.1945,6.0,0.2175,6.0,93.13,3.71936,-4.6108,4.369,0.00011,0.91115
8684.65,BTC-27MAR20,1583060344402,open,0.74,2.0,0.694,0.77,0.72915282,96.18,0.4565,0.0,BTC-27MAR20-15000-P,8572.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23346,-2.29235,-10.50789,2e-05,-0.97757
8684.65,BTC-27MAR20,1583060344402,open,0.01,1223.5,0.004,0.0315,0.01390252,59.23,0.0145,0.0,BTC-27MAR20-7500-P,8572.0,58.6,0.0135,19.3,0.0145,38.7,60.16,5.54615,-6.34778,-1.04939,0.00018,-0.15654
8684.65,BTC-27MAR20,1583060344402,open,2.24,0.0,2.161,2.2905,2.22413907,130.45,None,0.0,BTC-27MAR20-28000-P,8572.0,0.0,0.0005,1.0,0.0,0.0,0.0,0.0557,-0.14041,-19.84594,0.0,-0.99931
8684.65,BTC-27MAR20,1583060344402,open,0.0,387.4,0.0005,0.0105,0.00091867,79.45,0.001,0.0,BTC-27MAR20-5500-P,8572.0,73.25,0.0005,68.0,0.0015,49.1,85.47,0.70921,-1.08881,-0.078,2e-05,-0.01175
8944.72,BTC-26JUN20,1583060344403,open,2.37,0.0,2.29,2.444,2.3606813,102.16,None,0.0,BTC-26JUN20-30000-P,8572.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96541,-1.73307,-95.236,2e-05,-0.96441
8684.65,BTC-27MAR20,1583060344403,open,0.54,53.6,0.5295,0.549,0.53944292,89.85,0.5975,0.0,BTC-27MAR20-4000-C,8572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03258,-0.05655,2.83314,0.0,0.99961
8684.65,BTC-27MAR20,1583060344403,open,2.47,0.0,2.387,2.525,2.45442248,135.89,None,0.0,BTC-27MAR20-30000-P,8572.0,0.0,0.0005,1.0,0.0,0.0,0.0,0.04763,-0.12507,-21.2644,0.0,-0.99941
8684.65,BTC-27MAR20,1583060344403,open,0.0,871.8,0.0005,0.0115,0.00194562,96.02,0.0015,0.0,BTC-27MAR20-15000-C,8572.0,92.59,0.0015,49.3,0.0025,24.0,99.64,1.22448,-2.272,0.1249,2e-05,0.02223
